[2026-08-05 14:31:42,576: INFO: main: Welcome to custom logs]
[2026-08-05 14:32:58,176: INFO: main: Welcome to custom logs]
[2026-08-05 16:26:04,897: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-05 16:26:04,900: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-05 16:27:25,138: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-05 16:27:25,140: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-05 16:28:19,004: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-05 16:28:19,006: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-05 16:30:13,403: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-05 16:30:13,405: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-05 16:30:13,407: INFO: common: created directory at: artifacts]
[2026-08-05 16:30:13,409: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-05 16:30:13,410: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1ILUpxc3P3NOA7s9xd9Fdr3TIurO-bhQi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-05 16:51:13,068: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-08-05 16:51:13,070: INFO: common: yaml file: params.yaml loaded successfully]
[2026-08-05 16:51:13,072: INFO: common: created directory at: artifacts]
[2026-08-05 16:51:13,074: INFO: common: created directory at: artifacts/data_ingestion]
[2026-08-05 16:51:13,076: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1ILUpxc3P3NOA7s9xd9Fdr3TIurO-bhQi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-08-05 16:56:06,068: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1ILUpxc3P3NOA7s9xd9Fdr3TIurO-bhQi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
